run_path,mode,backend_profile,optimization_recipe,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,measured_training_seconds,wall_seconds,source_commit,source_dirty,source_diff_sha256,megatron_commit,torch,cuda,triton_ptxas_path,accelerator,compute_capability
full/zloss-validation-sm103a-v1/zloss2e5-s42,full,compile,z-loss-2e-5,42,9363488,286,112459776,1.5051616725551697,1069164.0320116181,101.50698372803163,144.0675067419652,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss2e6-s42,full,compile,z-loss-2e-6,42,9363488,286,112459776,1.5430493036418456,1309567.2847286153,82.87288271903526,131.1670785980532,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss5e6-clip005-s42,full,compile,z-loss-5e-6-clip005,42,9363488,286,112459776,1.5048129836096262,1057929.9617655324,102.58487794303801,129.14277624199167,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss5e6-clip01-s42,full,compile,z-loss-5e-6-clip01,42,9363488,286,112459776,1.5042227645029067,1039126.096676681,104.4412380240392,131.3149665390374,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss5e6-s43,full,compile,z-loss-5e-6,43,9363488,286,112459776,1.544770394238188,1301711.2737172851,83.37303224706557,131.7341959370533,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/zloss-validation-sm103a-v1/zloss5e6-s44,full,compile,z-loss-5e-6,44,9363488,286,112459776,1.5488488120825927,1279690.343361385,84.80771661910694,133.3790447320789,4d4149ce4745307837eaccc8866d480c7332127b,True,4a4cefd3cb105d149e7c2b47b96f1db06ad4bf0530668554dff429b8c9a53ae0,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/backend-factorial-sm103a-v1/compile,probe,compile,,42,9363488,30,11796480,1.9210921778963923,1258824.776736924,6.247350819059648,113.36838591098785,4d4149ce4745307837eaccc8866d480c7332127b,True,40f9e959368670cd8e585be723d28bced397d0adf7aa9a19e4ef18cf418ff897,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/backend-factorial-sm103a-v1/legacy,probe,legacy,,42,9363488,30,11796480,1.9026543557143194,779733.9309868632,10.085901982034557,106.18429695791565,4d4149ce4745307837eaccc8866d480c7332127b,True,40f9e959368670cd8e585be723d28bced397d0adf7aa9a19e4ef18cf418ff897,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/backend-factorial-sm103a-v1/native-master,probe,native-master,,42,9363488,30,11796480,1.9158765632931876,702785.7807459316,11.19020932901185,112.55565346905496,4d4149ce4745307837eaccc8866d480c7332127b,True,40f9e959368670cd8e585be723d28bced397d0adf7aa9a19e4ef18cf418ff897,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/backend-factorial-sm103a-v1/speedrun,probe,speedrun,,42,9363488,30,11796480,1.9261759966706113,1107184.0947506393,7.102992209955119,124.0775271760067,4d4149ce4745307837eaccc8866d480c7332127b,True,40f9e959368670cd8e585be723d28bced397d0adf7aa9a19e4ef18cf418ff897,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
