step,training_tokens,quarter_cross_entropy,full_cross_entropy,quarter_cross_entropy_smoothed,full_cross_entropy_smoothed,quarter_mtp_loss,full_mtp_loss,quarter_grad_norm,full_grad_norm,learning_rate
12,12582912,12.680668830871582,13.447478294372559,12.68106722831726,13.445816119511923,1.2672474384307861,1.346248745918274,25.874359130859375,92.07363891601562,6.291418230830459e-07
13,13631488,12.682540893554688,13.446684837341309,12.681180587181679,13.445882943960337,1.2673521041870117,1.345928430557251,26.651851654052734,91.91505432128906,6.815703272877727e-07
14,14680064,12.681949615478516,13.445984840393066,12.68123551777431,13.44589022227696,1.2673518657684326,1.3460333347320557,26.64386558532715,92.7380142211914,7.339988314924994e-07
15,15728640,12.680788040161133,13.445816993713379,12.681205685933431,13.44588534037272,1.267378568649292,1.345577359199524,25.56375503540039,91.33238220214844,7.864273356972262e-07
16,16777216,12.681164741516113,13.446024894714355,12.681203126907349,13.445894062519073,1.26731276512146,1.3456141948699951,25.383018493652344,90.38813018798828,8.388557830585341e-07
17,17825792,12.681941032409668,13.443388938903809,12.681246533113367,13.44574670230641,1.2673295736312866,1.3455003499984741,25.201642990112305,89.84893035888672,8.912842872632609e-07
18,18874368,12.68210506439209,13.446359634399414,12.681294229295519,13.445780754089355,1.267322063446045,1.345834732055664,26.496871948242188,92.0949478149414,9.437127914679877e-07
19,19922944,12.680904388427734,13.446640968322754,12.681273711355109,13.445826028522692,1.267289161682129,1.3461081981658936,27.98826789855957,96.1573486328125,9.961412388292956e-07
20,20971520,12.679750442504883,13.442520141601562,12.681197547912598,13.445660734176636,1.267325520515442,1.3458621501922607,25.619678497314453,90.27208709716797,1.0485697430340224e-06
21,22020096,12.680469512939453,13.440999984741211,12.681151294708252,13.445414733886718,1.2673078775405884,1.3457136154174805,25.564983367919922,90.4222183227539,1.1009982472387492e-06
22,23068672,12.681966781616211,13.441810607910156,12.681252813339233,13.445128440856934,1.2671864032745361,1.3454585075378418,25.44767189025879,90.92147827148438,1.153426751443476e-06
23,24117248,12.681904792785645,13.437957763671875,12.681314754486085,13.444659185409545,1.2672464847564697,1.3456459045410156,26.616992950439453,94.35337829589844,1.2058552556482027e-06
24,25165824,12.682005882263184,13.442461013793945,12.681375455856323,13.444425344467163,1.2673420906066895,1.3459267616271973,26.716068267822266,92.34173583984375,1.2582836461660918e-06
25,26214400,12.680362701416016,13.437492370605469,12.681326484680175,13.44395923614502,1.2673258781433105,1.3457813262939453,27.553640365600586,93.12598419189453,1.3107121503708186e-06
26,27262976,12.680051803588867,13.439722061157227,12.681263208389282,13.443750619888306,1.2672123908996582,1.3454877138137817,26.122346878051758,91.50497436523438,1.3631406545755453e-06
27,28311552,12.680421829223633,13.439844131469727,12.681224679946899,13.443484163284301,1.2672728300094604,1.3454612493515015,27.45092010498047,94.05674743652344,1.4155691587802721e-06
28,29360128,12.678091049194336,13.438765525817871,12.681046152114869,13.443214750289917,1.2670090198516846,1.3458349704742432,26.629653930664062,92.35494232177734,1.467997662984999e-06
29,30408704,12.679859161376953,13.434141159057617,12.680948972702026,13.442704057693481,1.2671308517456055,1.345563292503357,26.437803268432617,92.74302673339844,1.5204261671897257e-06
30,31457280,12.679865837097168,13.434041023254395,12.680900573730469,13.4420832157135,1.2672170400619507,1.3450651168823242,26.526527404785156,91.8936767578125,1.5728546713944525e-06
31,32505856,12.679990768432617,13.432754516601562,12.680840158462525,13.441544485092162,1.2671257257461548,1.3452039957046509,26.040884017944336,91.36524200439453,1.6252830619123415e-06
32,33554432,12.678750991821289,13.432001113891602,12.68074426651001,13.440770626068115,1.2670443058013916,1.345273494720459,25.436023712158203,90.3271255493164,1.6777115661170683e-06
33,34603008,12.678842544555664,13.431196212768555,12.680559349060058,13.439996194839477,1.2671432495117188,1.3455177545547485,28.01401710510254,93.88351440429688,1.730140070321795e-06
34,35651584,12.679086685180664,13.428909301757812,12.680416202545166,13.439142417907714,1.267206072807312,1.3451783657073975,26.127120971679688,91.41780853271484,1.7825685745265218e-06
35,36700160,12.677974700927734,13.427166938781738,12.680275535583496,13.438209915161133,1.2669718265533447,1.345075249671936,26.50707244873047,92.17861938476562,1.8349970787312486e-06
36,37748736,12.677885055541992,13.426292419433594,12.68011155128479,13.437223291397094,1.2669426202774048,1.344956398010254,25.57467269897461,90.68840789794922,1.8874255829359754e-06
37,38797312,12.676126480102539,13.422061920166016,12.679820823669434,13.436156940460204,1.2668787240982056,1.3451303243637085,25.955215454101562,91.0208740234375,1.9398539734538645e-06
