backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit
megatron,situ-glu,42,9363208,286,112459776,1.5277990917734883,768488.6568184748,235.89188414206728,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,situ-glu,43,9363208,286,112459776,1.546226099199353,655607.5148268274,266.1121421349235,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,situ-glu,44,9363208,286,112459776,1.5247505822476153,754607.8897185843,235.57462068402674,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,xielu,42,9363498,286,112459776,1.5478123306945877,668773.3945184797,265.00295975990593,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,xielu,43,9363498,286,112459776,1.5364849653423156,602959.8726749367,293.19973002106417,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
megatron,xielu,44,9363498,286,112459776,1.5237131417694658,721257.6558243355,250.58667631307617,e6d9b0b1153e74078dbb87d4c0e8b12c8d4df513,55ac7082517c3878ae653c07c09c534b8aed49f6
speedrun,attnres,42,9364709,286,112459776,1.4960570913554467,1237338.0,87.710529088974,,
speedrun,attnres,43,9364709,286,112459776,1.49729141381086,1255029.0,86.47418761253357,,
speedrun,attnres,44,9364709,286,112459776,1.5011098470521977,1279747.0,84.80390524864197,,
speedrun,baseline,42,9363488,286,112459776,1.550233214988311,1375228.0,78.91608095169067,,
speedrun,baseline,43,9363488,286,112459776,1.5588903658411504,1384066.0,78.41216802597046,,
speedrun,baseline,44,9363488,286,112459776,1.555817888649273,1321390.0,82.13136625289917,,
speedrun,dsa,42,9391248,287,112852992,1.6339830165072566,433009.0,251.5439863204956,,
speedrun,dsa,43,9391248,287,112852992,1.6346510137175567,434279.0,250.80800104141235,,
speedrun,dsa,44,9391248,287,112852992,1.6319956085657996,436337.0,249.6254279613495,,
speedrun,engram,42,10284800,314,123469824,1.4872970286354055,1351641.0,88.43885111808777,,
speedrun,engram,43,10284800,314,123469824,1.4914268322701292,1384013.0,86.37029218673706,,
speedrun,engram,44,10284800,314,123469824,1.490441885107378,1323190.0,90.3404712677002,,
speedrun,gated-attention,42,9365448,286,112459776,1.5464668576315812,1327172.0,81.7735767364502,,
speedrun,gated-attention,43,9365448,286,112459776,1.5603291171412006,1354390.0,80.13020706176758,,
speedrun,gated-attention,44,9365448,286,112459776,1.540856920967074,1299069.0,83.5425500869751,,
speedrun,glm-mla,42,9394848,287,112852992,1.5497065666076613,1339815.0,81.29541230201721,,
speedrun,glm-mla,43,9394848,287,112852992,1.5545668275166644,1394319.0,78.11754631996155,,
speedrun,glm-mla,44,9394848,287,112852992,1.5557974302660342,1389978.0,78.36154913902283,,
speedrun,inkling-relative-attention,42,9420128,287,112852992,1.5524670534551452,566720.0,192.19490385055542,,
speedrun,inkling-relative-attention,43,9420128,287,112852992,1.5624794172098095,560667.0,194.26976442337036,,
speedrun,inkling-relative-attention,44,9420128,287,112852992,1.5603841377930932,566200.0,192.37148475646973,,
speedrun,inkling-sconv-kv,42,9365728,286,112459776,1.5424988612097468,1338202.0,81.09956526756287,,
speedrun,inkling-sconv-kv,43,9365728,286,112459776,1.5474704033245494,1250662.0,86.77608752250671,,
speedrun,inkling-sconv-kv,44,9365728,286,112459776,1.5529890522032408,1265879.0,85.73300004005432,,
speedrun,inkling-sconv-residual,42,9365728,286,112459776,1.4813045821994317,1305897.0,83.10579109191895,,
speedrun,inkling-sconv-residual,43,9365728,286,112459776,1.5156636619103925,1327460.0,81.75582194328308,,
speedrun,inkling-sconv-residual,44,9365728,286,112459776,1.5180827107406396,1276590.0,85.01362633705139,,
