backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit,backend_profile,optimization_recipe,source_dirty,source_diff_sha256,source_worktree_sha256,steady_state_tokens_per_second,median_step_seconds,p90_step_seconds
megatron,gated-attention,44,9365448,286,112459776,1.4997131111325928,1547956.3135022165,554.2173118690262,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,glm-mla,42,9394848,287,112852992,1.5012862152708102,1530890.7601170547,571.3348481719149,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,glm-mla,43,9394848,287,112852992,1.510712562171008,1320685.5049735804,617.1565499459393,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,glm-mla,44,9394848,287,112852992,1.5013147335102892,1507554.8394237412,574.1603940409841,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-relative-attention,42,9420128,287,112852992,1.4899906695365368,596669.82002465,748.7455435070442,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-relative-attention,43,9420128,287,112852992,1.5032715197522737,597172.5604060576,784.720928426017,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-relative-attention,44,9420128,287,112852992,1.4912497234542479,597164.6789650588,752.292148372042,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-kv,42,9365728,286,112459776,1.4947205543599187,1517022.188332221,576.9238100940129,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-kv,43,9365728,286,112459776,1.50496199216824,1309387.415426134,604.6635951669887,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-kv,44,9365728,286,112459776,1.4920261744804715,1514057.4976299247,560.7369212610647,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-residual,42,9365728,286,112459776,1.4786908269814778,1452347.031597548,531.9097937559709,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-residual,43,9365728,286,112459776,1.4859752202314842,1330103.7173421015,596.3787923810305,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,inkling-sconv-residual,44,9365728,286,112459776,1.4766390980856252,1527517.8783679039,534.5709939349908,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
